epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1941.27,0.87805,5.14891,1.41125,0,0,0,0,0.5877,5.70642,1.21259,2.07123e-05,2.07123e-05,2.07123e-05
2,2246.9,0.5186,4.89646,1.14562,0.00625,0.0625,0.01555,0.01555,0.49434,5.48064,1.10001,4.03358e-05,4.03358e-05,4.03358e-05
3,2554.17,0.48966,4.7127,1.1083,0.02257,0.3125,0.05496,0.04946,0.49358,5.18422,1.05776,5.85733e-05,5.85733e-05,5.85733e-05
4,2863.38,0.47538,4.55719,1.09584,0.03719,0.375,0.11764,0.11178,0.48476,5.19889,1.05616,5.6763e-05,5.6763e-05,5.6763e-05
5,3225.89,0.47029,4.41443,1.08377,0.07256,0.5625,0.18382,0.16233,0.47062,5.11902,1.01022,5.4684e-05,5.4684e-05,5.4684e-05
6,3632.54,0.46473,4.23487,1.07137,0.08193,0.6875,0.35931,0.3308,0.46006,5.02013,1.0332,5.2605e-05,5.2605e-05,5.2605e-05
7,4061.2,0.45013,4.08324,1.06366,0.09803,0.75,0.44898,0.42363,0.43203,4.85468,0.98299,5.0526e-05,5.0526e-05,5.0526e-05
8,4429.34,0.45546,3.91125,1.06787,0.08839,0.6875,0.53304,0.49883,0.45058,4.78155,1.00233,4.8447e-05,4.8447e-05,4.8447e-05
9,4769.85,0.47012,3.79149,1.07499,0.56731,0.33848,0.5355,0.49128,0.48201,4.64602,1.03303,4.6368e-05,4.6368e-05,4.6368e-05
10,5106.13,0.46051,3.62707,1.06321,0.55565,0.37023,0.54932,0.50372,0.45362,4.5374,1.00185,4.4289e-05,4.4289e-05,4.4289e-05
11,5443.93,0.44639,3.46526,1.05244,0.52374,0.625,0.68095,0.63898,0.4193,4.38874,0.97542,4.221e-05,4.221e-05,4.221e-05
12,5786.53,0.43685,3.29886,1.04858,0.64977,0.5,0.77734,0.73692,0.42254,4.24459,0.95917,4.0131e-05,4.0131e-05,4.0131e-05
13,6130.09,0.45339,3.22745,1.05258,0.58007,0.5,0.70479,0.67162,0.39461,4.07019,0.93148,3.8052e-05,3.8052e-05,3.8052e-05
14,6473.27,0.44197,3.10477,1.04673,0.58713,0.5625,0.80844,0.74936,0.46147,3.87076,0.99153,3.5973e-05,3.5973e-05,3.5973e-05
15,6812.47,0.45229,3.00383,1.05697,0.58555,0.6875,0.87062,0.82709,0.40378,3.72459,0.9357,3.3894e-05,3.3894e-05,3.3894e-05
16,7153.91,0.43451,2.90903,1.03772,0.6772,0.5625,0.93281,0.87063,0.4261,3.5619,0.9384,3.1815e-05,3.1815e-05,3.1815e-05
17,7498.3,0.43692,2.82209,1.051,0.64614,0.5625,0.87062,0.82709,0.41899,3.47066,0.95079,2.9736e-05,2.9736e-05,2.9736e-05
18,7839.61,0.43205,2.78248,1.04539,0.66113,0.6875,0.93281,0.88306,0.42753,3.41424,0.93335,2.7657e-05,2.7657e-05,2.7657e-05
19,8185.32,0.41408,2.69678,1.02875,0.6737,0.625,0.93281,0.87684,0.40801,3.40111,0.92374,2.5578e-05,2.5578e-05,2.5578e-05
20,8525.25,0.42202,2.6413,1.04025,0.60073,0.8125,0.93281,0.8613,0.43269,3.28401,0.94799,2.3499e-05,2.3499e-05,2.3499e-05
21,8866.89,0.42336,2.60658,1.11688,0.68342,0.6875,0.96391,0.90794,0.40189,2.83855,0.9545,2.142e-05,2.142e-05,2.142e-05
22,9269.77,0.38918,2.40917,1.08748,0.6048,0.8125,0.90172,0.8302,0.43278,2.70149,0.96221,1.9341e-05,1.9341e-05,1.9341e-05
23,9595.09,0.3715,2.30975,1.07358,0.67362,0.8125,0.96391,0.90483,0.416,2.60289,0.94524,1.7262e-05,1.7262e-05,1.7262e-05
24,9919.4,0.36813,2.2438,1.06561,0.67779,0.8125,0.96391,0.88617,0.42697,2.5203,0.94687,1.5183e-05,1.5183e-05,1.5183e-05
25,10245.8,0.36315,2.1621,1.06053,0.7011,0.75,0.96391,0.91105,0.40382,2.49364,0.93148,1.3104e-05,1.3104e-05,1.3104e-05
26,10572.9,0.36215,2.12541,1.05017,0.75737,0.75,0.96391,0.89861,0.39915,2.38119,0.91829,1.1025e-05,1.1025e-05,1.1025e-05
27,10898.9,0.35781,2.06934,1.04629,0.77983,0.75,0.96391,0.91105,0.39741,2.34369,0.91436,8.946e-06,8.946e-06,8.946e-06
28,11224.7,0.35922,2.05236,1.05625,0.69492,0.8125,0.96391,0.90483,0.39018,2.32724,0.9062,6.867e-06,6.867e-06,6.867e-06
29,11550.6,0.34786,2.01168,1.04994,0.72106,0.8125,0.96391,0.91105,0.39865,2.31516,0.91213,4.788e-06,4.788e-06,4.788e-06
30,11877.3,0.35169,2.02098,1.04984,0.68556,0.875,0.96391,0.91105,0.39187,2.28222,0.90775,2.709e-06,2.709e-06,2.709e-06
